env,throughput_mbps_mean,latency_ms_mean,cpu_mean_mean,jitter_ms_mean,category,nic_mode,qos,qos_effect_pct,pod_config
KUBERNETES,24.93026843212577,583.659875,29.63645833333333,918.9493749999999,ENV_FAIR,,,,
NATIVE,40.69034,6.0,84.99350000000001,109.9,ENV_FAIR,,,,
VM,27.933289364255813,22.009700000000002,2.629333333333333,45.0944,ENV_FAIR,,,,
DOCKER,,0.08940000000000001,99.72133333333333,0.0731,QOS_EFFECT,BRIDGED,NOQOS,100.0,
DOCKER,,0.0945,6.278333333333333,0.08990000000000001,QOS_EFFECT,BRIDGED,QOS1 C-_S,0.09011752172763753,
DOCKER,,0.9789,2.5496666666666665,8.735299999999999,QOS_EFFECT,BRIDGED,QOS1 S-_C,0.089830625175122,
DOCKER,,0.0872,99.475,0.10410000000000001,QOS_EFFECT,BRIDGED,QOS2 C-_S,75.1116035429533,
DOCKER,,0.10729999999999999,99.31833333333334,0.1345,QOS_EFFECT,BRIDGED,QOS2 S-_C,75.52521600142902,
DOCKER,,0.0576,99.51233333333333,0.0348,QOS_EFFECT,HOST,NOQOS,100.0,
DOCKER,,0.0656,99.483,0.0836,QOS_EFFECT,HOST,QOS1 C-_S,97.4279038428196,
DOCKER,,0.9797,6.8420000000000005,8.677299999999999,QOS_EFFECT,HOST,QOS1 S-_C,0.09809402139701787,
DOCKER,,0.10700000000000001,98.77933333333333,0.42479999999999996,QOS_EFFECT,HOST,QOS2 C-_S,96.44126563067103,
DOCKER,,0.10700000000000001,98.77933333333333,0.42479999999999996,QOS_EFFECT,HOST,QOS2 S-_C,96.44126563067103,
DOCKER,,0.1708,83.57411494252874,0.7495999999999999,QOS_EFFECT,MACVLAN,NOQOS,100.0,
DOCKER,,0.15460000000000002,12.503807151979565,0.3975,QOS_EFFECT,MACVLAN,QOS1 C-_S,0.21505656202719672,
DOCKER,,151.13366666666664,39.555555555555564,186.8066666666667,QOS_EFFECT,MACVLAN,QOS1 S-_C,17.170148733103975,
DOCKER,,57.8917,22.552814814814816,24.0511,QOS_EFFECT,MACVLAN,QOS2 C-_S,13.769217597476327,
DOCKER,,25.3091,7.943666666666667,0.383,QOS_EFFECT,MACVLAN,QOS2 S-_C,0.29151795770347083,
KUBERNETES,,10.692714285714287,57.77952380952381,24.247999999999998,QOS_EFFECT,K8S_1 POD,NOQOS,100.0,
KUBERNETES,,17.242375,3.8746835443037977,66.0955,QOS_EFFECT,K8S_1 POD,QOS1 C-_S,74.97488642757915,
KUBERNETES,,9.0295,99.05622156810276,9.9727,QOS_EFFECT,K8S_1 POD,QOS1 S-_C,134.01124270271148,
KUBERNETES,,10.1753,99.715664160401,14.9511,QOS_EFFECT,K8S_1 POD,QOS2 C-_S,96.73570849887041,
KUBERNETES,,9.351857142857144,99.715664160401,9.589571428571428,QOS_EFFECT,K8S_1 POD,QOS2 S-_C,159.36234502071346,
KUBERNETES,,904.1726000000001,7.74,1058.791,QOS_EFFECT,K8S_10 POD,NOQOS,100.0,
KUBERNETES,,2061.693333333333,20.807777777777776,2157.6366666666668,QOS_EFFECT,K8S_10 POD,QOS1 C-_S,100.69463938092089,
KUBERNETES,,694.5123333333335,20.960000000000004,705.6586666666667,QOS_EFFECT,K8S_10 POD,QOS1 S-_C,1009.3111083110547,
KUBERNETES,,1789.3035,6.368333333333332,2131.906,QOS_EFFECT,K8S_10 POD,QOS2 C-_S,83.32961950358188,
KUBERNETES,,1766.11425,5.483333333333333,2455.17875,QOS_EFFECT,K8S_10 POD,QOS2 S-_C,281.2036115099046,
KUBERNETES,,1185.7115,7.756666666666667,2309.87475,QOS_EFFECT,K8S_5 POD,NOQOS,100.0,
KUBERNETES,,636.6415000000001,21.19801075268817,1046.1854999999998,QOS_EFFECT,K8S_5 POD,QOS1 C-_S,33.382627524374,
KUBERNETES,,520.9509999999999,9.628,833.7454,QOS_EFFECT,K8S_5 POD,QOS1 S-_C,290.12288050771747,
KUBERNETES,,1649.068,7.4833333333333325,1965.6835714285714,QOS_EFFECT,K8S_5 POD,QOS2 C-_S,22.684997767873707,
KUBERNETES,,359.8745,20.591666666666672,734.2760000000001,QOS_EFFECT,K8S_5 POD,QOS2 S-_C,155.44401546497667,
NATIVE,,6.0,84.99350000000001,109.9,QOS_EFFECT,NATIVE,NOQOS,100.0,
VM,,1.0850000000000002,48.46333333333333,4.3778999999999995,QOS_EFFECT,BRIDGED_LOCAL,NOQOS,100.0,
VM,,0.6593,11.562000000000001,0.2299,QOS_EFFECT,BRIDGED_LOCAL,QOS1 C-_S,0.9274686505347821,
VM,,1.3656000000000001,8.17233333333333,5.6076,QOS_EFFECT,BRIDGED_LOCAL,QOS1 S-_C,0.9160463157579412,
VM,,25.8183,10.956666666666667,0.2803,QOS_EFFECT,BRIDGED_LOCAL,QOS2 C-_S,33.316627973655564,
VM,,25.993900000000004,18.99233333333333,0.2826,QOS_EFFECT,BRIDGED_LOCAL,QOS2 S-_C,34.39841609275882,
VM,,22.009700000000002,2.629333333333333,45.0944,QOS_EFFECT,CROSS-HOSTS,NOQOS,100.0,
VM,,149.1123,4.790333333333334,263.0877,QOS_EFFECT,CROSS-HOSTS,QOS3,27.509472682254554,
VM,,0.8772,42.52466666666667,1.5603,QOS_EFFECT,HOST-ONLY,NOQOS,100.0,
VM,,0.8323,1.8210000000000002,0.8981999999999999,QOS_EFFECT,HOST-ONLY,QOS1 C-_S,0.8598309674016166,
VM,,1.4486,3.488666666666666,4.5473,QOS_EFFECT,HOST-ONLY,QOS1 S-_C,0.8442422232322345,
VM,,25.920499999999997,6.375,0.41950000000000004,QOS_EFFECT,HOST-ONLY,QOS2 C-_S,31.87362816317354,
VM,,26.287599999999998,15.334,1.7664000000000002,QOS_EFFECT,HOST-ONLY,QOS2 S-_C,28.523901547444108,
VM,,0.7313,44.705333333333336,0.2526,QOS_EFFECT,NAT,NOQOS,100.0,
VM,,0.6978,1.448,0.21680000000000002,QOS_EFFECT,NAT,QOS1 C-_S,0.8651588211903211,
VM,,1.0942,4.1866666666666665,3.507,QOS_EFFECT,NAT,QOS1 S-_C,0.864767277900368,
VM,,25.9567,7.4079999999999995,0.6571,QOS_EFFECT,NAT,QOS2 C-_S,29.704096640736623,
VM,,33.3369,27.631666666666668,59.0773,QOS_EFFECT,NAT,QOS2 S-_C,26.62269510893447,
,59.60816075222117,11.19759523809524,72.67575174356384,24.16345238095238,K8S_POD_SCALING,,,,1 POD
,1.0107847731565818,1378.3849411764706,11.686666666666667,1645.1981176470588,K8S_POD_SCALING,,,,10 POD
,6.1021761857002526,976.2781249999999,12.496724910394263,1454.7365,K8S_POD_SCALING,,,,5 POD
